Date,Name,Year,Letterboxd URI,Rating,Language,Genres
7/6/2022,The Edge of Seventeen,2016,https://boxd.it/d5nu,3,English,"Drama, Comedy"
7/6/2022,The F**k-It List,2020,https://boxd.it/m3uc,2,English,Comedy
7/11/2022,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3.5,English,"Action, Fantasy, Comedy"
7/13/2022,The Imitation Game,2014,https://boxd.it/6aig,3.5,English,"Drama, Thriller, War, History"
7/14/2022,Five Feet Apart,2019,https://boxd.it/jaAK,4,English,"Drama, Romance"
7/16/2022,"Boo, Bitch",2022,https://boxd.it/BIiG,1.5,English,Comedy
7/17/2022,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,5,Telugu,"Comedy, Romance, Family"
7/17/2022,Black,2022,https://boxd.it/xCni,0.5,Telugu,"Thriller, Action"
7/18/2022,Tuck Jagadish,2021,https://boxd.it/twvs,0.5,Telugu,"Family, Drama, Action"
7/18/2022,Uppena,2021,https://boxd.it/moEM,3,Telugu,Drama
7/18/2022,Krack,2021,https://boxd.it/tv70,3,Telugu,"Drama, Crime, Action"
7/18/2022,Fantastic Four,2005,https://boxd.it/1XVw,3,English,"Science Fiction, Action, Fantasy"
7/18/2022,Fantastic Four,2015,https://boxd.it/5a9c,1,English,"Science Fiction, Adventure, Action"
7/18/2022,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,2.5,English,"Action, Science Fiction, Adventure"
7/18/2022,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,3.5,English,"Thriller, Science Fiction, Action, Adventure"
7/20/2022,Eternals,2021,https://boxd.it/j36o,3.5,English,"Action, Science Fiction, Adventure"
7/20/2022,Rang De,2021,https://boxd.it/tUSA,2.5,Telugu,"Romance, Comedy"
7/21/2022,Spree,2020,https://boxd.it/oiiO,2.5,English,"Horror, Comedy, Crime"
7/22/2022,Mainstream,2020,https://boxd.it/kpDc,1.5,English,"Comedy, Drama"
7/23/2022,Freaky,2020,https://boxd.it/ka42,2.5,English,"Thriller, Horror, Comedy, Fantasy"
7/24/2022,My First Summer,2020,https://boxd.it/rOjg,1,English,"Drama, Romance"
7/25/2022,The Black Phone,2021,https://boxd.it/sqFE,4.5,English,"Thriller, Horror"
7/25/2022,Major,2022,https://boxd.it/mkWM,5,Telugu,"Action, Drama, History"
7/25/2022,The Gray Man,2022,https://boxd.it/rb7q,2,English,"Thriller, Action"
7/25/2022,Plan B,2021,https://boxd.it/rUMy,2.5,English,Comedy
7/25/2022,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,4.5,English,"Animation, Mystery, Comedy, Adventure, Family"
7/25/2022,Black Widow,2021,https://boxd.it/hWV8,3.5,English,"Science Fiction, Action, Adventure"
7/25/2022,The Boss Baby: Family Business,2021,https://boxd.it/goWY,3,English,"Adventure, Animation, Family, Comedy"
7/25/2022,The Tomorrow War,2021,https://boxd.it/lE78,3.5,English,"Adventure, Science Fiction, Action"
7/26/2022,Love Hard,2021,https://boxd.it/rxXS,4,English,"Comedy, Romance"
7/26/2022,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,2.5,English,"Drama, Romance, Comedy"
7/27/2022,Lightyear,2022,https://boxd.it/qV1G,4,English,"Science Fiction, Adventure, Family, Animation, Action"
7/28/2022,Gifted,2017,https://boxd.it/e5dG,3,English,"Comedy, Drama"
7/30/2022,Honor Society,2022,https://boxd.it/z1Bw,4.5,English,Comedy
7/31/2022,Senior Year,2022,https://boxd.it/u8C2,3,English,Comedy
7/31/2022,Every Day,2018,https://boxd.it/gEhC,4.5,English,"Fantasy, Romance"
7/31/2022,Spiderhead,2022,https://boxd.it/mLsO,0.5,English,"Science Fiction, Thriller"
8/4/2022,A Fan's Guide to Ms. Marvel,2022,https://boxd.it/AZh4,5,English,Documentary
8/4/2022,Purple Hearts,2022,https://boxd.it/sFiK,3,English,"Drama, Romance"
8/5/2022,Interstellar,2014,https://boxd.it/4VZ8,3,English,"Science Fiction, Drama, Adventure"
8/5/2022,10 Things I Hate About You,1999,https://boxd.it/23AO,1.5,English,"Comedy, Romance, Drama"
8/6/2022,The Broken Hearts Gallery,2020,https://boxd.it/mNja,4.5,English,"Comedy, Romance"
8/6/2022,Wedding Season,2022,https://boxd.it/uQ9S,4,English,"Romance, Comedy"
8/7/2022,Spider-Man 2,2004,https://boxd.it/2a88,2.5,English,"Action, Fantasy, Adventure"
8/8/2022,"The Simpsons: The Good, the Bart, and the Loki",2021,https://boxd.it/vUPq,0.5,English,"Family, Animation, Comedy"
8/8/2022,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5,English,"Fantasy, Adventure, Action"
8/8/2022,The Royal Treatment,2022,https://boxd.it/tIGs,3.5,English,"Romance, Comedy"
8/9/2022,Elvis,2022,https://boxd.it/mK4w,2,English,"Drama, Music"
8/9/2022,No Strings Attached,2011,https://boxd.it/YUs,2,English,"Comedy, Romance"
8/9/2022,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,2,English,Comedy
8/9/2022,Tom & Jerry,2021,https://boxd.it/lCXG,2,English,"Animation, Family, Comedy"
8/12/2022,Ready Player One,2018,https://boxd.it/aZes,2.5,English,"Science Fiction, Action, Adventure"
8/14/2022,Thank You,2022,https://boxd.it/y4wM,3.5,Telugu,"Romance, Drama"
8/15/2022,Clap,2022,https://boxd.it/mIL4,3,Tamil,Drama
8/15/2022,U Turn,2018,https://boxd.it/jvko,3.5,Tamil,"Horror, Thriller, Crime"
8/15/2022,Agnyaathavaasi,2018,https://boxd.it/hRDo,3.5,Telugu,"Action, Drama"
8/15/2022,Miss India,2020,https://boxd.it/srzs,1.5,Telugu,Drama
8/15/2022,A Aa,2016,https://boxd.it/cVkA,3.5,Telugu,"Family, Comedy, Drama, Romance"
8/15/2022,Bruce Lee - The Fighter,2015,https://boxd.it/cBgo,1.5,Telugu,"Drama, Romance, Action"
8/15/2022,Drushyam,2014,https://boxd.it/8xUQ,4,Telugu,"Crime, Drama, Thriller"
8/15/2022,iSmart Shankar,2019,https://boxd.it/muXg,4,Telugu,"Thriller, Action, Science Fiction"
8/15/2022,Hyper,2016,https://boxd.it/eOfC,1.5,Telugu,"Romance, Family, Action"
8/15/2022,Nenu..Sailaja,2016,https://boxd.it/d6EG,4,Telugu,"Comedy, Romance"
8/15/2022,Bhale Bhale Magadivoy,2015,https://boxd.it/cJD6,4,Telugu,"Comedy, Romance"
8/15/2022,Vinaya Vidheya Rama,2019,https://boxd.it/kLG8,0.5,Telugu,"Action, Drama"
8/15/2022,American Psycho,2000,https://boxd.it/28Vs,2,English,"Crime, Thriller, Horror, Drama"
8/15/2022,Mean Girls,2004,https://boxd.it/1VNg,4,English,Comedy
8/15/2022,Day Shift,2022,https://boxd.it/sn8W,3,English,"Fantasy, Comedy, Horror, Action"
8/17/2022,The Terminal,2004,https://boxd.it/2a2O,4,English,"Comedy, Drama"
8/17/2022,Easy A,2010,https://boxd.it/17DK,3.5,English,Comedy
8/17/2022,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4.5,English,"Comedy, Romance, Drama"
8/17/2022,Z-O-M-B-I-E-S 3,2022,https://boxd.it/ut9g,2.5,English,"Family, Comedy, TV Movie, Science Fiction, Fantasy, Music"
8/17/2022,The Warriorr,2022,https://boxd.it/yYnG,2,Telugu,"Drama, Action"
8/17/2022,Not Okay,2022,https://boxd.it/vCEY,3.5,English,"Comedy, Drama"
8/17/2022,Pakka Commercial,2022,https://boxd.it/xFIy,0.5,Telugu,"Action, Comedy, Crime"
8/17/2022,Crush,2022,https://boxd.it/wuHW,4.5,English,"Romance, Comedy"
8/17/2022,Spin,2021,https://boxd.it/rzma,4,English,"Music, Family, TV Movie"
8/17/2022,Venom: Let There Be Carnage,2021,https://boxd.it/llco,4.5,English,"Adventure, Science Fiction, Action"
8/17/2022,No Time to Die,2021,https://boxd.it/cPX2,4.5,English,"Action, Adventure, Thriller"
8/18/2022,Look Both Ways,2022,https://boxd.it/ujzI,3.5,English,"Romance, Drama, Comedy"
8/18/2022,About Time,2013,https://boxd.it/43bI,3,English,"Drama, Fantasy, Romance"
